#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1143	NR_026690.1	chr7	+	73149398	73150330	73150330	73150330	4	73149398,73149570,73150057,73150259,	73149420,73149829,73150178,73150330,	0	ABHD11-AS1	none	none	-1,-1,-1,-1,
1143	NM_148912.4	chr7	-	73150423	73153132	73150888	73153100	6	73150423,73151258,73151550,73151891,73152657,73152975,	73151021,73151440,73151721,73152065,73152793,73153132,	0	ABHD11	cmpl	cmpl	2,0,0,0,2,0,
1143	NM_001145364.3	chr7	-	73150423	73153132	73150888	73153100	5	73150423,73151258,73151891,73152657,73152975,	73151021,73151440,73152065,73152793,73153132,	0	ABHD11	cmpl	cmpl	2,0,0,2,0,
1143	NM_001301058.2	chr7	-	73150423	73153132	73151003	73153100	4	73150423,73151891,73152657,73152975,	73151021,73152065,73152793,73153132,	0	ABHD11	cmpl	cmpl	0,0,2,0,
1143	NM_148913.4	chr7	-	73150423	73153132	73150888	73153100	6	73150423,73151258,73151550,73151891,73152657,73152975,	73151021,73151440,73151721,73152065,73152772,73153132,	0	ABHD11	cmpl	cmpl	2,0,0,0,2,0,
1143	NR_135627.2	chr7	-	73150423	73153132	73153132	73153132	5	73150423,73151258,73151891,73152657,73152975,	73151021,73151550,73152065,73152793,73153132,	0	ABHD11	none	none	-1,-1,-1,-1,-1,
1143	NR_169872.1	chr7	-	73150423	73153132	73153132	73153132	6	73150423,73151258,73151550,73151891,73152662,73152975,	73151021,73151440,73151721,73152065,73152793,73153132,	0	ABHD11	none	none	-1,-1,-1,-1,-1,-1,
1143	NM_001306.4	chr7	-	73183326	73184600	73183716	73184379	1	73183326,	73184600,	0	CLDN3	cmpl	cmpl	0,
1143	NM_001305.5	chr7	+	73245325	73247020	73245531	73246161	1	73245325,	73247020,	0	CLDN4	cmpl	cmpl	0,
1143	NM_152559.3	chr7	-	73248919	73256846	73249072	73256470	6	73248919,73254360,73254743,73255399,73256347,73256819,	73249332,73254450,73254879,73255528,73256474,73256846,	0	METTL27	cmpl	cmpl	1,1,0,0,0,-1,
1144	NM_182504.4	chr7	+	73275488	73280220	73275524	73280203	3	73275488,73279322,73279906,	73275596,73279751,73280220,	0	TMEM270	cmpl	cmpl	0,0,0,
1145	NM_001278918.2	chr7	+	73442502	73484237	73442517	73483030	28	73442502,73449693,73452036,73455545,73456943,73457313,73457447,73458208,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73481061,73482986,	73442599,73449744,73452069,73455581,73457036,73457364,73457498,73458250,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470687,73471043,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001081752.3	chr7	+	73442502	73484237	73442517	73483030	30	73442502,73449693,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73481061,73482986,	73442599,73449744,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278917.2	chr7	+	73442502	73484237	73442517	73483030	32	73442502,73449693,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471969,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73472026,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278914.2	chr7	+	73442502	73484237	73442517	73483030	31	73442502,73449693,73452036,73455545,73456943,73457313,73457432,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278913.2	chr7	+	73442502	73484237	73442517	73483030	29	73442502,73449693,73450884,73452036,73456943,73457313,73457447,73458208,73459551,73461025,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73450914,73452069,73457036,73457364,73457498,73458250,73459623,73461097,73462531,73462886,73466169,73466313,73467639,73469099,73470687,73471043,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278916.2	chr7	+	73442502	73484237	73442517	73483030	29	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474705,73475430,73477482,73477639,73477950,73480023,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73474377,73474831,73475469,73477554,73477699,73478025,73480062,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001081755.3	chr7	+	73442502	73484237	73442517	73483030	32	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278912.2	chr7	+	73442502	73484237	73442517	73483030	32	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471969,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73472026,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_000501.4	chr7	+	73442502	73484237	73442517	73483030	33	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471969,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73472026,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278915.2	chr7	+	73442502	73484237	73442517	73483030	33	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471969,73474197,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73472026,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001278939.2	chr7	+	73442502	73484237	73442517	73483030	34	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457447,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471711,73471969,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73480273,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73471798,73472026,73474377,73474514,73474930,73475469,73477554,73477699,73478025,73480062,73480327,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001081753.3	chr7	+	73442502	73484237	73442517	73483030	31	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457432,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1145	NM_001081754.3	chr7	+	73442502	73484237	73442517	73483030	32	73442502,73449693,73450884,73452036,73455545,73456943,73457313,73457432,73458208,73459551,73460517,73461025,73462004,73462471,73462832,73466079,73466253,73467492,73469045,73470600,73471001,73471969,73474215,73474469,73474705,73475430,73477482,73477639,73477950,73480023,73481061,73482986,	73442599,73449744,73450914,73452069,73455581,73457036,73457364,73457498,73458250,73459623,73460547,73461097,73462046,73462531,73462886,73466169,73466313,73467639,73469099,73470765,73471043,73472026,73474377,73474514,73474831,73475469,73477554,73477699,73478025,73480062,73481106,73484237,	0	ELN	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
143	NM_002314.4	chr7	+	73498133	73536855	73498320	73535631	16	73498133,73500077,73510951,73511409,73513361,73520204,73520406,73521339,73522200,73523234,73525977,73526262,73530131,73534912,73535221,73535468,	73498375,73500174,73511090,73511519,73513568,73520310,73520573,73521523,73522287,73523366,73526037,73526328,73530288,73534968,73535379,73536855,	0	LIMK1	cmpl	cmpl	0,1,2,0,2,2,0,2,0,0,0,0,0,1,0,2,
143	NM_001204426.2	chr7	+	73507546	73536855	73507579	73535631	15	73507546,73510951,73511409,73513361,73520204,73520406,73521339,73522200,73523234,73525977,73526262,73530131,73534912,73535221,73535468,	73507629,73511090,73511519,73513568,73520310,73520573,73521523,73522287,73523366,73526037,73526328,73530288,73534968,73535379,73536855,	0	LIMK1	cmpl	cmpl	0,2,0,2,2,0,2,0,0,0,0,0,1,0,2,
1146	NM_031992.2	chr7	+	73588685	73611426	73588713	73609638	6	73588685,73601940,73604002,73604151,73609070,73609498,	73588772,73602128,73604067,73604248,73609208,73611426,	0	EIF4H	cmpl	cmpl	0,2,1,0,1,1,
1146	NM_022170.2	chr7	+	73588685	73611426	73588713	73609638	7	73588685,73601940,73604002,73604151,73604576,73609070,73609498,	73588772,73602128,73604067,73604248,73604636,73609208,73611426,	0	EIF4H	cmpl	cmpl	0,2,1,0,1,1,1,
1146	NR_030321.1	chr7	+	73605527	73605624	73605624	73605624	1	73605527,	73605624,	0	MIR590	none	none	-1,
1146	NM_014146.4	chr7	+	73624335	73644164	73630305	73639072	13	73624335,73630276,73631154,73634073,73634289,73634546,73634913,73635033,73635966,73638053,73638347,73638968,73643273,	73624418,73630399,73631194,73634117,73634338,73634584,73634949,73635064,73636022,73638113,73638527,73639090,73644164,	0	LAT2	cmpl	cmpl	-1,0,1,2,1,2,1,1,2,1,1,1,-1,
1146	NM_032463.3	chr7	+	73624335	73644164	73630305	73639072	14	73624335,73629151,73630276,73631154,73634073,73634289,73634546,73634913,73635033,73635966,73638053,73638347,73638968,73643273,	73624418,73629270,73630399,73631194,73634117,73634338,73634584,73634949,73635064,73636022,73638113,73638527,73639090,73644164,	0	LAT2	cmpl	cmpl	-1,-1,0,1,2,1,2,1,1,2,1,1,1,-1,
1146	NM_032464.3	chr7	+	73624335	73644164	73630305	73639072	14	73624335,73629151,73630276,73631154,73634073,73634289,73634546,73634913,73635033,73635966,73638053,73638347,73638968,73643273,	73624418,73629340,73630399,73631194,73634117,73634338,73634584,73634949,73635064,73636022,73638113,73638527,73639090,73644164,	0	LAT2	cmpl	cmpl	-1,-1,0,1,2,1,2,1,1,2,1,1,1,-1,
143	NM_001278791.2	chr7	-	73645831	73668729	73646435	73663370	11	73645831,73649861,73651691,73653252,73654267,73657475,73660991,73663341,73664068,73666758,73668600,	73646546,73649975,73651772,73653318,73654425,73657576,73661093,73663550,73664110,73666828,73668729,	0	RFC2	cmpl	cmpl	0,0,0,0,1,2,2,0,-1,-1,-1,
143	NM_001278793.2	chr7	-	73645831	73668729	73646435	73663370	10	73645831,73649861,73651691,73653252,73654267,73657475,73663341,73664068,73666758,73668600,	73646546,73649975,73651772,73653318,73654425,73657576,73663550,73664110,73666828,73668729,	0	RFC2	cmpl	cmpl	0,0,0,0,1,2,0,-1,-1,-1,
143	NM_181471.3	chr7	-	73645831	73668729	73646435	73668713	11	73645831,73649861,73651691,73653252,73654267,73657475,73660991,73663341,73664068,73666758,73668600,	73646546,73649975,73651772,73653318,73654425,73657576,73661093,73663448,73664110,73666828,73668729,	0	RFC2	cmpl	cmpl	0,0,0,0,1,2,2,0,0,2,0,
143	NM_002914.5	chr7	-	73645831	73668729	73646435	73668713	10	73645831,73649861,73651691,73653252,73654267,73657475,73663341,73664068,73666758,73668600,	73646546,73649975,73651772,73653318,73654425,73657576,73663448,73664110,73666828,73668729,	0	RFC2	cmpl	cmpl	0,0,0,0,1,2,0,0,2,0,
143	NM_001278792.2	chr7	-	73645831	73668729	73646435	73664091	10	73645831,73649861,73651691,73653252,73654267,73657475,73660991,73664068,73666758,73668600,	73646546,73649975,73651772,73653318,73654425,73657576,73661093,73664110,73666828,73668729,	0	RFC2	cmpl	cmpl	0,0,0,0,1,2,2,0,-1,-1,
143	NM_032421.3	chr7	+	73703736	73820265	73731876	73818178	16	73703736,73731809,73752777,73768209,73770739,73771609,73774504,73778584,73790216,73795135,73800850,73803432,73811403,73814699,73815834,73818166,	73704064,73731997,73753334,73768334,73770953,73771807,73774608,73778645,73791152,73795193,73800934,73803589,73811563,73814885,73815897,73820265,	0	CLIP2	cmpl	cmpl	-1,0,1,0,2,0,0,2,0,0,1,1,2,0,0,0,
143	NM_003388.5	chr7	+	73703736	73820265	73731876	73818178	17	73703736,73731809,73752777,73768209,73770739,73771609,73774504,73778584,73787261,73790216,73795135,73800850,73803432,73811403,73814699,73815834,73818166,	73704064,73731997,73753334,73768334,73770953,73771807,73774608,73778645,73787366,73791152,73795193,73800934,73803589,73811563,73814885,73815897,73820265,	0	CLIP2	cmpl	cmpl	-1,0,1,0,2,0,0,2,0,0,0,1,1,2,0,0,0,
143	NM_005685.4	chr7	+	73868235	74016931	73922410	74016760	27	73868235,73922404,73927159,73929770,73932468,73933738,73935537,73938400,73944063,73949442,73950496,73952465,73953009,73954208,73959084,73960073,73961432,73969503,73969767,73971968,73973190,73973956,74004179,74005153,74009340,74015370,74016691,	73868506,73922533,73927301,73929926,73932652,73934049,73935627,73938484,73944247,73949468,73950605,73952503,73953090,73954298,73959132,73960139,73961616,73969553,73969824,73972052,73973374,73973985,74004257,74005346,74009378,74015507,74016931,	0	GTF2IRD1	cmpl	cmpl	-1,0,0,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,0,
